job_title,company,location,source,score,match_percent,fit_category,target_track,recommended_resume,location_status,company_bonus,target_strength,recommendation,apply_priority,application_status,application_date,interview_date,follow_up_date,job_link,notes,match_reasons,email_subject,email_date
Sr Data Analyst - Crecera Brands,Salt Strong,"Bloomington, MN, United States",Google Job Alert,65,65,Possible Match,Data / Reporting,Business Analytics Resume,Preferred,0,Strong Target,Review,Review if time,Not Applied,,,,,,"analyst, data analyst, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
Data Analyst,Cloud Data Vision LLC,"Lauderdale, MN, United States",Google Job Alert,65,65,Possible Match,Data / Reporting,Business Analytics Resume,Preferred,0,Strong Target,Review,Review if time,Not Applied,,,,,,"analyst, data analyst, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
CRM Admin and Marketing Coordinator,Geffen Mesher & Company PC,"Portland, OR, United States",Google Job Alert,60,60,Possible Match,Salesforce / CRM,Salesforce Resume,Preferred,0,Strong Target,Review,Review if time,Not Applied,,,,,,"crm admin, crm","10 new jobs for ""crm administrator remote "" - Jun 24",2026-06-24
Remote Inside Sales Representative,Liberty Mutual Insurance,"Minneapolis, MN",LinkedIn,55,55,Possible Match,General / Other,General Resume,Preferred,0,Standard,Review,Review if time,Not Applied,,,,,,"Remote, Minnesota location",Remote Inside Sales Representative at Liberty Mutual: up to $75K/year,2026-06-24
Title Business Anaylst,HomeServices of America,"Eden Prairie, MN (Remote)",LinkedIn,55,55,Possible Match,Data / Reporting,Business Analytics Resume,Preferred,0,Good Target,Review,Review if time,Not Applied,,,,,,"Remote, Minnesota location",Analytics Specialist at Cargill: up to $183K/year,2026-06-24
Purchasing Analyst,Polaris Inc.,"Plymouth, MN",LinkedIn,50,50,Possible Match,Operations / Supply Chain,Operations / Supply Chain Resume,Preferred,0,Good Target,Review,Review if time,Not Applied,,,,,,"analyst, purchasing, Minnesota location",SUPPLY CHAIN SENIOR ANALYST at Best Buy: up to $112K/year,2026-06-11
